Method Name, Covered Instruction, Total Instruction
__wasm_call_ctors, 1, 1%
_start, 8, 11%
abort, 0, 2%
sbrk, 0, 34%
malloc, 0, 3%
dlmalloc, 0, 2942%
free, 0, 3%
dlfree, 0, 822%
calloc, 0, 44%
realloc, 0, 542%
dispose_chunk, 0, 775%
posix_memalign, 0, 49%
internal_memalign, 0, 209%
aligned_alloc, 0, 11%
malloc_usable_size, 0, 27%
__main_argc_argv, 0, 4%
_Exit, 0, 4%
__main_void, 0, 71%
dummy, 1, 1%
__prepare_for_exit, 3, 3%
exit, 0, 6%
memcpy, 204, 711%
memset, 190, 190%
strlen, 74, 82%
__ofl_lock, 2, 2%
__ofl_unlock, 0, 1%
__stdio_exit, 56, 149%
__toread, 48, 62%
__toread_needs_stdio_exit, 0, 2%
__uflow, 30, 30%
__shlim, 36, 36%
__shgetc, 82, 110%
__intscan, 170, 670%
scalbn, 0, 73%
fmod, 0, 227%
__floatscan, 0, 2405%
scanexp, 0, 241%
mbrtowc, 0, 170%
mbsinit, 0, 8%
close, 0, 11%
__stdio_close, 0, 4%
writev, 30, 40%
__stdio_write, 59, 136%
__lseek, 0, 37%
__stdio_seek, 0, 6%
__towrite, 35, 42%
__towrite_needs_stdio_exit, 0, 2%
__fwritex, 101, 116%
fwrite, 50, 127%
fputs, 13, 13%
vfscanf, 323, 1289%
long_double_not_supported, 0, 7%
memchr, 103, 120%
__string_read, 42, 42%
vsscanf, 29, 29%
do_read, 5, 5%
sscanf, 19, 19%
__isatty, 30, 38%
__stdout_write, 20, 20%
dummy, 0, 2%
__lctrans, 0, 4%
__lctrans_cur, 0, 14%
__strerror_l, 0, 50%
strerror, 0, 59%
strnlen, 0, 11%
wcrtomb, 0, 134%
wctomb, 0, 9%
frexp, 0, 51%
vfprintf, 115, 164%
printf_core, 437, 4393%
pop_arg, 21, 235%
long_double_not_supported, 0, 7%
printf, 19, 19%
__overflow, 0, 65%
puts, 28, 36%
decode, 210, 238%
__original_main, 34, 34%
main, 0, 2%
