─────────────────────────
Instruction Coverage- URL_decoding.wasm
─────────────────────────
__wasm_call_ctors -----> 100.0%
_start -----> 72.72727272727273%
abort -----> 0.0%
sbrk -----> 0.0%
malloc -----> 0.0%
dlmalloc -----> 0.0%
free -----> 0.0%
dlfree -----> 0.0%
calloc -----> 0.0%
realloc -----> 0.0%
dispose_chunk -----> 0.0%
posix_memalign -----> 0.0%
internal_memalign -----> 0.0%
aligned_alloc -----> 0.0%
malloc_usable_size -----> 0.0%
__main_argc_argv -----> 0.0%
_Exit -----> 0.0%
__main_void -----> 0.0%
dummy -----> 100.0%
__prepare_for_exit -----> 100.0%
exit -----> 0.0%
memcpy -----> 28.69198312236287%
memset -----> 100.0%
strlen -----> 90.2439024390244%
__ofl_lock -----> 100.0%
__ofl_unlock -----> 0.0%
__stdio_exit -----> 37.58389261744966%
__toread -----> 77.41935483870968%
__toread_needs_stdio_exit -----> 0.0%
__uflow -----> 100.0%
__shlim -----> 100.0%
__shgetc -----> 74.54545454545455%
__intscan -----> 25.37313432835821%
scalbn -----> 0.0%
fmod -----> 0.0%
__floatscan -----> 0.0%
scanexp -----> 0.0%
mbrtowc -----> 0.0%
mbsinit -----> 0.0%
close -----> 0.0%
__stdio_close -----> 0.0%
writev -----> 75.0%
__stdio_write -----> 43.38235294117647%
__lseek -----> 0.0%
__stdio_seek -----> 0.0%
__towrite -----> 83.33333333333333%
__towrite_needs_stdio_exit -----> 0.0%
__fwritex -----> 87.06896551724138%
fwrite -----> 39.37007874015748%
fputs -----> 100.0%
vfscanf -----> 25.058184639255238%
long_double_not_supported -----> 0.0%
memchr -----> 85.83333333333333%
__string_read -----> 100.0%
vsscanf -----> 100.0%
do_read -----> 100.0%
sscanf -----> 100.0%
__isatty -----> 78.94736842105263%
__stdout_write -----> 100.0%
dummy -----> 0.0%
__lctrans -----> 0.0%
__lctrans_cur -----> 0.0%
__strerror_l -----> 0.0%
strerror -----> 0.0%
strnlen -----> 0.0%
wcrtomb -----> 0.0%
wctomb -----> 0.0%
frexp -----> 0.0%
vfprintf -----> 70.1219512195122%
printf_core -----> 9.947643979057592%
pop_arg -----> 8.936170212765957%
long_double_not_supported -----> 0.0%
printf -----> 100.0%
__overflow -----> 0.0%
puts -----> 77.77777777777777%
decode -----> 88.23529411764706%
__original_main -----> 100.0%
main -----> 0.0%
